,Wi,Sum_xi,Diff
0,3910.4218887722877,3910.421888772288,4.547473508864641e-13
1,20237.53752138672,20237.537521386723,3.637978807091713e-12
2,141.97594585746083,141.97594585746089,5.684341886080802e-14
3,3370.2498005263897,3370.2498005263897,0.0
4,31968.21991295732,31968.21991295732,0.0
5,9318.612012162488,9318.612012162488,0.0
6,3478.207462885008,3478.2074628850087,4.547473508864641e-13
7,5127.665168874979,5127.66516887498,9.094947017729282e-13
8,7747.843762263084,7747.843762263085,1.8189894035458565e-12
9,7910.8261325487165,7910.8261325487165,0.0
10,2930.843789732213,2930.8437897322124,-4.547473508864641e-13
11,22502.541625348586,22502.541625348582,-3.637978807091713e-12
12,64058.966962887425,64058.96696288741,-1.4551915228366852e-11
13,22854.200573218935,22854.200573218932,-3.637978807091713e-12
14,9740.319462083387,9740.31946208339,1.8189894035458565e-12
15,2471.0121383667574,2471.012138366757,-4.547473508864641e-13
16,11442.075258482457,11442.075258482459,1.8189894035458565e-12
17,20631.33059023248,20631.330590232486,7.275957614183426e-12
18,107.7316902330903,107.73169023309032,1.4210854715202004e-14
19,6095.855019205737,6095.855019205739,1.8189894035458565e-12
20,42518.471193813195,42518.471193813195,0.0
21,4520.4035367785145,4520.403536778515,9.094947017729282e-13
22,18299.147868379983,18299.14786837998,-3.637978807091713e-12
23,319.30878661041794,319.30878661041794,0.0
24,26185.693695105037,26185.693695105037,0.0
25,5073.15888720931,5073.158887209309,-9.094947017729282e-13
26,1609.6945897220592,1609.694589722059,-2.2737367544323206e-13
27,816.5713930185518,816.5713930185517,-1.1368683772161603e-13
28,738.543140978874,738.5431409788741,1.1368683772161603e-13
29,24926.849667082413,24926.849667082406,-7.275957614183426e-12
30,8274.686100282774,8274.686100282772,-1.8189894035458565e-12
31,1781.4452441636186,1781.4452441636186,0.0
32,6253.674467544796,6253.674467544797,9.094947017729282e-13
33,56133.24104144461,56133.24104144461,0.0
34,6259.204147674445,6259.204147674447,1.8189894035458565e-12
35,4809.35678618007,4809.356786180072,1.8189894035458565e-12
36,6366.291488046526,6366.291488046528,1.8189894035458565e-12
37,21960.910865107893,21960.910865107893,0.0
38,2837.330068236812,2837.330068236812,0.0
39,6636.5819489579935,6636.581948957994,9.094947017729282e-13
40,4830.774716427546,4830.774716427544,-1.8189894035458565e-12
41,4902.612457289937,4902.612457289936,-9.094947017729282e-13
42,8753.410851390398,8753.4108513904,1.8189894035458565e-12
43,7004.785848150536,7004.785848150537,9.094947017729282e-13
44,1137.796923227952,1137.7969232279522,2.2737367544323206e-13
45,9138.196977163192,9138.196977163192,0.0
46,9445.914832419478,9445.914832419478,0.0
47,1766.4856047769274,1766.4856047769272,-2.2737367544323206e-13
48,998.064393215421,998.0643932154211,1.1368683772161603e-13
49,5127.699309709432,5127.699309709432,0.0
50,736.9231378870363,736.9231378870363,0.0
51,2942.270229964179,2942.270229964179,0.0
52,728.8581038942049,728.858103894205,1.1368683772161603e-13
53,38474.35876376649,38474.35876376648,-7.275957614183426e-12
54,2736.889346691375,2736.889346691374,-9.094947017729282e-13
55,9548.328646827236,9548.328646827238,1.8189894035458565e-12
56,4918.034596027777,4918.034596027778,9.094947017729282e-13
57,16752.43782209805,16752.43782209805,0.0
58,16525.43324404089,16525.433244040894,3.637978807091713e-12
59,20126.04521197539,20126.04521197539,0.0
60,6235.933596971677,6235.933596971676,-9.094947017729282e-13
61,2890.151436537999,2890.151436537999,0.0
62,57429.397192746175,57429.39719274616,-1.4551915228366852e-11
63,1306.884510383604,1306.8845103836045,4.547473508864641e-13
64,11483.394769334192,11483.394769334189,-3.637978807091713e-12
65,3852.9998243000746,3852.999824300075,4.547473508864641e-13
66,7432.828319886014,7432.8283198860145,9.094947017729282e-13
67,29141.999514447372,29141.999514447376,3.637978807091713e-12
68,51555.75334846825,51555.75334846825,0.0
69,23679.298114619825,23679.29811461983,3.637978807091713e-12
70,1278.4664929209478,1278.466492920948,2.2737367544323206e-13
71,2351.561179799765,2351.561179799765,0.0
72,729.003096314341,729.0030963143408,-1.1368683772161603e-13
73,11083.653417408945,11083.653417408947,1.8189894035458565e-12
74,2118.8218554205923,2118.8218554205923,0.0
75,5659.349790426419,5659.349790426418,-9.094947017729282e-13
