,Wi,Sum_xi,Diff
0,3910.4218887722877,3910.421888772289,1.3642420526593924e-12
1,20237.53752138672,20237.537521386716,-3.637978807091713e-12
2,141.97594585746083,141.97594585746083,0.0
3,3370.2498005263897,3370.2498005263888,-9.094947017729282e-13
4,31968.21991295732,31968.21991295733,1.0913936421275139e-11
5,9318.612012162488,9318.612012162488,0.0
6,3478.207462885008,3478.2074628850073,-9.094947017729282e-13
7,5127.665168874979,5127.665168874979,0.0
8,7747.843762263084,7747.8437622630845,9.094947017729282e-13
9,7910.8261325487165,7910.826132548716,-9.094947017729282e-13
10,2930.843789732213,2930.843789732213,0.0
11,22502.541625348586,22502.54162534859,3.637978807091713e-12
12,64058.966962887425,64058.96696288741,-1.4551915228366852e-11
13,22854.200573218935,22854.200573218932,-3.637978807091713e-12
14,9740.319462083387,9740.319462083387,0.0
15,2471.0121383667574,2471.0121383667583,9.094947017729282e-13
16,11442.075258482457,11442.075258482455,-1.8189894035458565e-12
17,20631.33059023248,20631.330590232483,3.637978807091713e-12
18,107.7316902330903,107.7316902330903,0.0
19,6095.855019205737,6095.855019205739,1.8189894035458565e-12
20,42518.471193813195,42518.471193813195,0.0
21,4520.4035367785145,4520.403536778515,9.094947017729282e-13
22,18299.147868379983,18299.14786837998,-3.637978807091713e-12
23,319.30878661041794,319.30878661041794,0.0
24,26185.693695105037,26185.693695105037,0.0
25,5073.15888720931,5073.15888720931,0.0
26,1609.6945897220592,1609.6945897220596,4.547473508864641e-13
27,816.5713930185518,816.5713930185518,0.0
28,738.543140978874,738.5431409788737,-3.410605131648481e-13
29,24926.849667082413,24926.84966708241,-3.637978807091713e-12
30,8274.686100282774,8274.686100282774,0.0
31,1781.4452441636186,1781.4452441636188,2.2737367544323206e-13
32,6253.674467544796,6253.674467544795,-9.094947017729282e-13
33,56133.24104144461,56133.24104144459,-2.1827872842550278e-11
34,6259.204147674445,6259.204147674444,-9.094947017729282e-13
35,4809.35678618007,4809.35678618007,0.0
36,6366.291488046526,6366.291488046526,0.0
37,21960.910865107893,21960.910865107886,-7.275957614183426e-12
38,2837.330068236812,2837.330068236812,0.0
39,6636.5819489579935,6636.581948957992,-1.8189894035458565e-12
40,4830.774716427546,4830.774716427546,0.0
41,4902.612457289937,4902.612457289936,-9.094947017729282e-13
42,8753.410851390398,8753.410851390396,-1.8189894035458565e-12
43,7004.785848150536,7004.785848150538,1.8189894035458565e-12
44,1137.796923227952,1137.796923227952,0.0
45,9138.196977163192,9138.196977163188,-3.637978807091713e-12
46,9445.914832419478,9445.91483241948,1.8189894035458565e-12
47,1766.4856047769274,1766.485604776928,6.821210263296962e-13
48,998.064393215421,998.0643932154211,1.1368683772161603e-13
49,5127.699309709432,5127.699309709431,-9.094947017729282e-13
50,736.9231378870363,736.9231378870365,2.2737367544323206e-13
51,2942.270229964179,2942.2702299641787,-4.547473508864641e-13
52,728.8581038942049,728.8581038942049,0.0
53,38474.35876376649,38474.3587637665,7.275957614183426e-12
54,2736.889346691375,2736.889346691375,0.0
55,9548.328646827236,9548.32864682724,3.637978807091713e-12
56,4918.034596027777,4918.034596027776,-9.094947017729282e-13
57,16752.43782209805,16752.43782209805,0.0
58,16525.43324404089,16525.43324404089,0.0
59,20126.04521197539,20126.045211975383,-7.275957614183426e-12
60,6235.933596971677,6235.933596971678,9.094947017729282e-13
61,2890.151436537999,2890.1514365379994,4.547473508864641e-13
62,57429.397192746175,57429.39719274617,-7.275957614183426e-12
63,1306.884510383604,1306.8845103836038,-2.2737367544323206e-13
64,11483.394769334192,11483.394769334194,1.8189894035458565e-12
65,3852.9998243000746,3852.9998243000746,0.0
66,7432.828319886014,7432.828319886013,-9.094947017729282e-13
67,29141.999514447372,29141.999514447372,0.0
68,51555.75334846825,51555.75334846824,-7.275957614183426e-12
69,23679.298114619825,23679.29811461982,-3.637978807091713e-12
70,1278.4664929209478,1278.4664929209478,0.0
71,2351.561179799765,2351.5611797997644,-4.547473508864641e-13
72,729.003096314341,729.0030963143411,1.1368683772161603e-13
73,11083.653417408945,11083.653417408943,-1.8189894035458565e-12
74,2118.8218554205923,2118.8218554205932,9.094947017729282e-13
75,5659.349790426419,5659.349790426419,0.0
