,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,7032.491528666348,6841.409498085537,6534.182781575448,6442.200738049891,6322.688376500122,6233.201184487289,6187.494068883765,6376.887529607618,6850.369648257085,6981.604648257296,7118.770648261153,7364.473264325227,7596.758977403156,7742.065336456843,7854.798336456842,8049.600977403149,8077.274336456844,7848.533808508352,7526.745048092673,7248.310001587106,7330.362214299468,7623.747754095807,7795.0818977070585,7757.092877334657
1,7687.2325373511885,7561.896726407485,7081.238748383781,6646.650948670575,6471.989985841964,6288.572893395395,6171.354549747095,6536.668376407221,6993.32479272964,7839.863482350961,8549.595482354061,9057.682482361875,9493.613607403704,9595.138607403698,9695.3966074037,9721.914607403696,9830.875607403696,9830.450041776441,9556.086948936072,9300.546216778133,8829.359336228054,8605.757283466979,8533.923762532053,8548.757269531478
2,8282.564725557306,7928.319998393799,7494.476759248805,6976.298761459676,6892.394284964174,6597.663491602704,6467.904966549423,6685.211903730753,7188.88312121638,7895.588696549516,8492.406099779946,9026.475751086093,9440.649443317556,9613.860446779307,9691.682449252614,9689.736448628271,9788.467437630215,9791.392645988173,9563.600713021746,9215.954978080284,9084.608317362412,8801.272132292574,8778.384016851927,8674.99708066153
3,8238.608818552377,7929.947439789685,7615.314270250673,7051.3448729997635,6817.895419119158,6540.413926243013,6509.978002196647,6775.000530966405,7179.3352702411985,7947.0825309473175,8585.369530947808,9094.060530981984,9488.639662020107,9510.249073488421,9791.271687583434,9894.357662035036,10077.300662036025,10103.958824289894,9687.742923082536,9192.012889137623,9114.633639608377,8999.968516699977,8926.974146694794,8844.121843713989
4,8303.04451062785,7964.386394651135,7550.496233129762,6958.749931573226,6845.770549121182,6527.877504358783,6501.591139765132,6726.323524475224,7216.620792546272,7967.737225898378,8483.700225905068,8981.977225910478,9560.284225927884,9783.096225954694,9804.60477379323,9805.931256131698,9958.044225917427,9784.743665491198,9462.518722673418,9071.36642840711,8750.410848556265,8557.205231855442,8656.695561135391,8612.594462293766
5,8229.025540843943,7852.195432065947,7524.4490437758495,6971.41704377592,6773.94354578417,6533.671266922073,6350.530402741928,6682.547251412558,7100.342541416573,7573.832148107422,8211.181043780056,8768.332043783446,9072.373044052963,9224.654922818467,9376.026529508512,9536.376043790704,9546.229043808973,9268.148582141283,9226.052009728732,8656.739830858043,8399.054179213086,8268.904118192391,8216.322737580103,7958.982965691578
6,7458.289499698963,7229.286540008565,6975.301507889489,6600.512377669018,6524.340768574414,6369.0591500379305,6343.712358918936,6266.0989552156625,6921.723671375157,7155.174059619547,7322.630454062949,7588.5986201701235,7733.330183673921,7848.113598204344,8000.565865449028,8030.811183673043,8063.8971836952605,7662.834335364154,7375.909837634424,7127.559406079605,7128.04263074376,7057.134189697994,7236.400759445031,7203.655802756865
7,6948.796784244358,6624.642720389168,6490.946959141389,6356.052660217119,6312.8163791778825,6153.469621749172,6045.356020531468,6315.680249772998,6894.3792119425725,7025.9937257420925,7170.006194188279,7402.957194188277,7600.2733888290195,7716.490443171448,7949.988443203551,8130.096388829021,8135.757388829018,8056.199410565229,7426.505903559375,7148.348444798288,7029.090635401768,7205.4136850357245,7267.695781824827,7383.18837466792
8,7527.561430474135,7409.9501677034905,7051.026299351328,6604.293496232036,6372.220501996503,6031.092803529039,5950.380315786981,6324.908156638969,6881.169294789643,7572.403758952572,8350.2950871612,8975.57745174355,9370.799246487011,9572.388246487002,9733.028179690466,9979.165384951022,9997.036179690469,10111.231451739131,9466.358467512002,9003.741083310715,8452.312323810602,8384.92835604203,8341.625442556799,8312.635274058464
9,8055.638439451524,7749.352868340489,7420.244252522711,6937.399563470668,6648.684050100025,6401.496841521502,6180.125783856233,6463.802710268696,7020.051205435597,7731.810969411075,8644.832398179942,9178.566398176235,9622.146976278778,9823.819708530238,9760.17227834567,10042.743870537872,10287.211100242055,9884.030917173679,9599.114693751395,9028.395956433571,8679.255143735669,8567.686634503003,8474.211370457026,8398.867659274492
